"","UF","X","Codigo","Instituicao","Nome","Nível","Situação","A1998","A2001","A2004","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2017","DNome","DNível","DSituação","DA1998","DA2001","DA2004","DA2007","DA2008","DA2009","DA2010","DA2011","DA2012","DA2013","DA2014","DA2017","SigladaIES","MUNICIPIO","Tipo","Regiao","Estado","Capital","SiglaRegigao"
"16","MG",29,"32006012023P2","UNIVERSIDADE FEDERAL DE UBERLÂNDIA","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,3,3,3,4,4,4,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFU","Uberlândia","Publica","Sudeste","Minas Gerais","Belo Horizonte","SE"
"17","PA",2,"15001016041P0","UNIVERSIDADE FEDERAL DO PARÁ","MATEMÁTICA E ESTATÍSTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,4,4,4,4,4,4,4,4,4,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFPA","Belém","Publica","Norte","Pará","Belém","NO"
"18","PA",3,"15001016061P1","UNIVERSIDADE FEDERAL DO PARÁ",NA,"Mestrado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matemática","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,"UFPA","Belém","Publica","Norte","Pará","Belém","NO"
"19","PB",8,"24001015035P6","UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA )","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",3,3,4,3,3,3,4,4,4,4,4,4,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFPB-JP","João Pessoa","Publica","Nordeste","Paraíba","João Pessoa","NE"
"20","PB",9,"24001015058P6","UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA )",NA,"Mestrado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,"UFPB-JP","João Pessoa","Publica","Nordeste","Paraíba","João Pessoa","NE"
"21","PB",10,"24009016012P7","UNIVERSIDADE FEDERAL DE CAMPINA GRANDE","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,3,3,3,3,3,4,4,4,4,4,4,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFCG","Campina Grande","Publica","Nordeste","Paraíba","João Pessoa","NE"
"22","PE",11,"25001019003P0","UNIVERSIDADE FEDERAL DE PERNAMBUCO","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",5,6,5,5,5,5,5,5,5,5,5,5,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",5,6,5,5,5,5,5,5,5,5,5,5,"UFPE","Recife","Publica","Nordeste","Pernambuco","Recife","NE"
"23","PE",12,"25001019048P3","UNIVERSIDADE FEDERAL DE PERNAMBUCO","ESTATÍSTICA","Mestrado","EM FUNCIONAMENTO",4,4,4,4,4,4,5,5,5,5,5,5,"ESTATÍSTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,4,4,4,4,5,5,5,5,5,5,"UFPE","Recife","Publica","Nordeste","Pernambuco","Recife","NE"
"24","PI",5,"21001014021P7","FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ","Matemática","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,3,3,3,3,3,3,3,4,"DOUTORADO EM MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"FUFPI","Teresina","Publica","Nordeste","Piauí","Teresina","NE"
"25","PR",43,"40001016041P1","UNIVERSIDADE FEDERAL DO PARANÁ","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,3,3,4,4,4,4,4,4,4,4,5,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,"UFPR","Curitiba","Publica","Sul","Paraná","Curitiba","S"
"26","PR",44,"40002012030P6","UNIVERSIDADE ESTADUAL DE LONDRINA","MATEMÁTICA APLICADA E COMPUTACIONAL","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,3,3,3,3,3,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UEL","Londrina","Publica","Sul","Paraná","Curitiba","S"
"27","PR",45,"40004015013P7","UNIVERSIDADE ESTADUAL DE MARINGÁ","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",4,3,4,4,4,4,4,4,4,4,4,5,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,"UEM","Maringá","Publica","Sul","Paraná","Curitiba","S"
