Codigo,NOME,Nível,Situação,A1998,A2001,A2004,A2007,A2008,A2009,A2010,A2011,A2012,A2013,A2014,A2017
41001010001P6,MATEMÁTICA PURA E APLICADA,Mestrado,EM FUNCIONAMENTO,3,4,4,4,4,4,4,4,4,4,4,5
42001013003P8,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,4,4,5
42001013003P8,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,5,5,5,5,5,5,5,5,5,4,4,5
42001013063P0,MATEMÁTICA APLICADA,Doutorado,EM FUNCIONAMENTO,NA,4,4,4,4,4,4,4,4,4,4,4
42001013063P0,MATEMÁTICA APLICADA,Mestrado,EM FUNCIONAMENTO,3,4,4,4,4,4,4,4,4,4,4,4
52001016001P3,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4
52001016001P3,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,3,3,4,4,4,4,4,4,4,4,4,4
53001010003P2,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,6,6,6,6,6,6,6,6,6,7,7,7
53001010003P2,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,6,6,6,6,6,6,6,6,6,7,7,7
30001013023P5,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,3,3,3,3,3,3,3,3,3,3
23001011042P0,MATEMÁTICA APLICADA E ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,3,3,3,3,3,3,3,3,3,3
42002010034P0,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,3,3,3,3,3,3,3,3,3,3
32006012023P2,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,3,3,3,3,3,3,3,4,4,4
40002012030P6,MATEMÁTICA APLICADA E COMPUTACIONAL,Mestrado,EM FUNCIONAMENTO,NA,NA,3,3,3,3,3,3,3,3,3,3
32002017035P5,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,3,3,3,3,3,3,3,3
53001010074P7,ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,3,3,3,3,3,3,3,4
33144010002P3,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
33144010002P3,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,3,3,3,3,3,4,4,4
21001014021P7,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
21001014021P7,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,3,3,3,3,3,3,3,4
33004129046P9,MATEMÁTICA APLICADA E COMPUTACIONAL,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,3,3,3,4,4,3
32005016030P2,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3
20001010019P0,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3
28001010081P2,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4
15001016061P1,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4
24001015058P6,MATEMÁTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5
27001016032P5,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3
31011012013P4,MODELAGEM MATEMÁTICA,Doutorado,EM PROJETO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31011012013P4,MODELAGEM MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4
33001014045P7,ESTATÍSTICA,Doutorado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4
33001014045P7,ESTATÍSTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4
32003013012P1,MATEMÁTICA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3
33009015092P6,MATEMÁTICA PURA E APLICADA,Mestrado,EM FUNCIONAMENTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
