"","Codigo","Nome","Nível","Situação","A1996","A1998","A2001","A2004","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2017","A2018"
"227","21001014021P7","DOUTORADO EM MATEMÁTICA","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"X213","33004129046P9","MATEMÁTICA APLICADA E COMPUTACIONAL","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,3,3,3,4,4,3,NA
"X214","32005016030P2","Matemática","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA
"X215","20001010019P0","MATEMATICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA
"X216","28001010081P2","Matemática","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA
"X217","15001016061P1","Matemática","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA
"X218","24001015058P6","MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,NA
"X219","27001016032P5","Matemática","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA
"228","31011012013P4","DOUTORADO ACADÊMICO EM MODELAGEM MATEMÁTICA","Mestrado/Doutorado","EM PROJETO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"229","33001014045P7","Doutorado em Estatística - UFSCAR/USP","Mestrado/Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA
"X220","32003013012P1","Matemática","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA
"X221","33009015092P6","Matemática Pura e Aplicada","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
